日期,一次网供水,一次网回水,东区二次网供水,东区二次网回水,西区二次网供水,西区二次网回水,南区二次网供水,南区二次网回水,北区二次网供水,北区二次网回水,高区二次网供水,高区二次网回水
2024年12月30日00时00分00秒,103.3875046,46.46601105,55.5321579,44.88670349,52.17441177,44.87067795,52.71915817,44.20233536,53.03044128,44.72190475,47.13664627,39.69558334
2024年12月30日00时30分00秒,104.133667,46.4728775,55.59395599,44.86610031,52.30945206,44.86381149,52.76951218,44.1451149,53.17464066,44.73106003,47.06568909,39.60402679
2024年12月30日01时00分00秒,104.4747086,46.44312286,55.76104355,44.90272522,52.34378433,44.92332458,52.79926682,44.11306763,53.17235184,44.74937057,47.15724564,39.56511688
2024年12月30日01时30分00秒,105.3879623,46.61936188,55.93728638,44.92332458,52.41703033,44.93247986,52.91371155,44.12451172,53.42412567,44.79514694,47.53948212,39.52391815
2024年12月30日02时00分00秒,104.3945999,46.46601105,55.74044418,44.99427795,52.52002716,45.0377655,52.87479782,44.16113663,53.3417244,44.83863449,47.19615555,39.53765106
2024年12月30日02时30分00秒,103.6255417,46.53238678,55.67406845,45.00572205,52.3643837,45.03089905,52.75349045,44.19089127,53.20668411,44.85007858,47.27626419,39.53765106
2024年12月30日03时00分00秒,104.2687149,46.51865387,55.79766464,44.93019104,52.26596451,44.96681213,52.82444382,44.11993408,53.32341385,44.81574631,47.3998642,39.45754242
2024年12月30日03时30分00秒,105.1590729,46.44312286,55.88922119,44.91416931,52.2156105,44.87754822,52.91600037,44.10620117,53.30281448,44.81574631,46.99473572,39.42778778
2024年12月30日04时00分00秒,104.1428223,46.61249542,55.742733,44.90730286,52.14923477,44.84092331,52.82444382,44.10391235,53.31883621,44.84550095,46.94438171,39.41634369
2024年12月30日04时30分00秒,102.3506546,46.39505768,55.41542816,44.89585876,51.78072739,44.75623703,52.55893707,44.1451149,53.01899719,44.78141403,46.9672699,39.43923187
2024年12月30日05时00分00秒,102.3323441,46.30578995,55.14076614,44.7402153,51.63653183,44.58457184,52.39871979,44.02151489,52.945755,44.68757248,46.53009796,39.28358841
2024年12月30日05时30分00秒,102.0050354,46.27832413,55.12016296,44.6166153,51.46257782,44.45410919,52.32318497,43.91394043,52.68711472,44.59601593,46.71549606,39.18059158
2024年12月30日06时00分00秒,102.4261856,46.16617203,55.11329651,44.53650665,51.46486664,44.35339737,52.31174088,43.85442734,52.74662399,44.52048492,46.67887497,39.12107849
2024年12月30日06时30分00秒,101.7441025,45.99450684,54.95079041,44.48157501,51.32066727,44.282444,52.13092422,43.77202988,52.65278244,44.4426651,46.65598679,39.06614685
2024年12月30日07时00分00秒,101.03685,45.82284164,54.74250412,44.42435455,51.04371643,44.19318008,52.01190186,43.73540878,52.48111725,44.36026382,46.11581421,38.97917175
2024年12月30日07时30分00秒,102.249939,45.76791,54.77912521,44.307621,51.19020462,44.0604248,52.09887695,43.63698959,52.49256134,44.27557755,46.59418488,38.81437302
2024年12月30日08时00分00秒,101.5815964,45.78850937,54.84092331,44.26871109,51.12840652,44.00091553,51.9546814,43.55916595,52.56809235,44.23437881,46.82993698,38.78232956
2024年12月30日08时30分00秒,101.4694443,96.56900787,90.49897003,44.11993408,59.29961014,43.86129379,87.2877121,43.18608475,89.24467468,43.87960815,78.78691101,38.68162155
2024年12月30日09时00分00秒,101.1215363,102.5314713,86.62393951,44.04669189,61.04829407,43.6255455,83.09681702,42.69855881,78.56259918,43.5774765,75.85488892,38.56259918
2024年12月30日09时30分00秒,101.2794724,49.24010086,52.76951218,39.90386963,47.66994858,38.10940552,50.36850357,41.361866,50.46463776,41.40764618,48.07507324,36.80247116
2024年12月30日10时00分00秒,102.2865677,40.33646011,50.15335464,38.638134,47.44564056,39.51018524,47.3151741,37.4753952,47.11833191,38.00411987,43.1197052,34.36713028
2024年12月30日10时30分00秒,101.3504257,42.46738434,51.74868393,40.64774704,48.2055397,40.67063522,48.35202408,39.54451752,49.60173798,40.89494324,44.09246826,35.60540009
2024年12月30日11时00分00秒,102.9526215,43.27077103,52.99382019,41.76470566,49.1325264,41.53810883,49.56053925,40.56534576,50.41428375,41.56099701,45.27122879,36.64225388
2024年12月30日11时30分00秒,102.6413345,43.97802734,53.45388031,42.57266998,49.76653671,42.22476578,50.07095337,41.24284744,50.86976242,42.32089615,45.03547668,37.36552811
2024年12月30日12时00分00秒,102.7214432,44.53879547,54.10162354,43.19752884,50.14648819,42.75349045,50.58594513,41.8448143,51.51750946,42.94346619,46.28290176,37.93774414
2024年12月30日12时30分00秒,101.4991989,45.02174377,54.25268936,43.68505478,50.44403839,43.17464066,50.7919426,42.26138687,51.67773056,43.38292694,46.63538742,38.46417999
2024年12月30日13时00分00秒,102.0256348,45.35362625,54.53421783,43.98260498,50.84687424,43.44472504,51.19935989,42.5749588,52.14236832,43.71023178,46.36072159,38.84183884
2024年12月30日13时30分00秒,101.4190903,45.18883133,54.32822037,44.21149063,50.69352341,43.66445541,51.05973816,42.796978,51.78530502,43.90249634,45.49782562,38.94026184
2024年12月30日14时00分00秒,101.7166367,45.32616043,54.5044632,44.28702164,50.81254196,43.73083115,51.18104935,42.93202209,52.06912231,44.02380371,46.14786148,38.75486374
2024年12月30日14时30分00秒,102.3666763,45.54131317,54.58228302,44.36026382,50.8903656,43.82238388,51.30922318,43.02357483,52.27511978,44.11077881,46.18906021,38.74570847
2024年12月30日15时00分00秒,101.9501038,45.28953934,54.39917755,44.35110855,49.91073608,43.78118515,51.61821747,43.0327301,50.85831833,44.09475708,46.25085831,38.64271164
2024年12月30日15时30分00秒,101.4900436,45.17509842,54.3442421,44.25040054,49.61547089,43.43556976,51.52437592,42.9823761,50.62714767,43.7743187,46.05630493,38.55573273
2024年12月30日16时00分00秒,103.0167084,45.12016296,54.25040054,44.28702164,49.58113861,43.05332947,52.15610123,43.25017166,50.4829483,43.39894867,46.35385513,38.77775192
2024年12月30日16时30分00秒,102.3643875,45.11558533,54.17258072,44.24353409,49.88555908,42.89311218,51.5220871,43.46761322,50.40512848,43.18837357,46.43625641,38.98603821
2024年12月30日17时00分00秒,102.6115799,45.13618851,54.25040054,44.14969254,50.01144409,42.94346619,51.57701874,43.52941132,50.37766266,43.0945282,46.47745514,39.17143631
2024年12月30日17时30分00秒,102.8542023,45.02174377,54.18631363,44.01922607,50.10757446,43.03730774,51.29091263,43.17921829,50.20141983,42.98924255,46.74982834,39.13481522
2024年12月30日18时00分00秒,100.8880768,44.79056931,53.5774765,43.93911743,49.72533798,43.09223938,50.55847931,42.96864319,50.98420715,42.97550964,45.95559692,39.04096985
2024年12月30日18时30分00秒,100.1533508,44.64179611,53.32112503,43.77889633,49.37285233,42.93659973,50.21973038,42.73975754,50.82856369,42.81528854,45.47493744,38.65873337
2024年12月30日19时00分00秒,99.83062744,44.29846573,52.97093201,43.51338959,49.24010086,42.70084763,49.89013672,42.40100861,50.99794006,43.10368347,44.23666763,38.06591797
2024年12月30日19时30分00秒,102.8862457,44.40146637,53.44472504,43.33714676,49.49874115,42.55893707,50.04119873,42.09658813,51.66170883,43.28450394,45.04463196,37.73174667
2024年12月30日20时00分00秒,104.0627136,44.32364273,53.62096405,43.32341385,49.57656097,42.61386871,50.06408691,41.99359131,52.01876831,43.50652313,44.68757248,37.58525848
2024年12月30日20时30分00秒,102.6207352,44.56168365,53.3669014,43.36003494,49.55367279,42.69398117,49.88327026,41.97756958,51.96612549,43.7125206,44.58457184,37.56008148
2024年12月30日21时00分00秒,103.7514343,44.57083893,53.57976532,43.36232376,49.73449326,42.72373581,50,41.9432373,52.25909805,43.87731934,44.89585876,37.50972748
2024年12月30日21时30分00秒,100.8697662,44.5044632,53.0579071,43.38292694,49.34309769,42.78782272,49.65896225,41.95010376,51.93637085,43.9597168,44.45410919,37.5005722
2024年12月30日22时00分00秒,101.9409485,44.49530792,53.05561829,43.24330521,49.3568306,42.69169235,50.02746582,41.85625839,51.9180603,43.94369507,44.72419357,37.33806229
2024年12月30日22时30分00秒,104.7837067,44.39688873,53.40810394,43.13801956,49.72304916,42.63676071,50.46234894,41.87228012,52.25909805,43.94827271,44.45410919,37.27397537
2024年12月30日23时00分00秒,104.1016235,44.60746002,53.36003494,43.18837357,49.65438461,42.73975754,50.53101349,42.09658813,52.25909805,43.99176025,45.05149841,37.4502182
2024年12月30日23时30分00秒,104.1954651,44.55023956,53.35545731,43.24330521,49.77569199,42.83588791,50.76218796,42.30029678,52.4376297,44.11077881,45.33760452,37.60585785
2025年01月01日00时00分00秒,103.7445602,45.24376297,54.49988556,43.44472504,50.55390167,43.25246048,51.43968964,42.52231598,51.50835419,44.51590729,47.054245,38.564888
2025年01月01日00时30分00秒,101.7097702,45.20943069,54.03295898,43.69192123,50.2105751,43.40123749,51.20622635,42.71915817,51.1146698,44.13595963,46.58960724,38.68162155
2025年01月01日01时00分00秒,104.3488235,45.24605179,54.77225876,43.82009506,50.76447678,43.39437103,51.83337021,42.895401,51.2130928,43.79491806,46.81849289,38.78004074
2025年01月01日01时30分00秒,103.0670624,45.20485306,54.78828049,44.05584717,50.57221222,43.50652313,51.78072739,43.03044128,50.85145187,43.55687714,46.31036758,38.69077682
2025年01月01日02时00分00秒,103.4332809,45.30098343,54.82032394,44.18173599,50.7049675,43.54543304,51.19249344,43.21126175,50.42572784,43.41039276,46.4225235,38.48020172
2025年01月01日02时30分00秒,103.8246765,45.26436234,55.08354187,44.257267,50.72098923,43.53398895,51.37102127,43.18837357,50.59281158,43.25017166,45.92126465,38.2673378
2025年01月01日03时00分00秒,103.7537231,45.15907669,55.07209778,44.29388809,50.72098923,43.53398895,51.11238098,42.92515564,50.27923965,43.11741638,46.16617203,38.13916397
2025年01月01日03时30分00秒,103.9848938,45.1979866,55.14534378,44.32364273,50.7301445,43.53627777,51.04829407,42.80842209,50.40512848,43.03044128,45.63973618,38.01556396
2025年01月01日04时00分00秒,102.9617767,45.14534378,54.97367859,44.39459991,50.63859177,43.56603241,50.85602951,42.66880417,50.07095337,42.93431091,45.80910873,37.98352051
2025年01月01日04时30分00秒,102.1560974,45.1979866,54.84778976,44.37170792,50.56076813,43.55001068,50.69810104,42.62073517,49.99771118,42.84962082,45.68093491,37.88967896
2025年01月01日05时00分00秒,101.4145126,44.88899231,54.62119293,44.307621,50.3822403,43.47447968,50.50583649,42.52918243,49.87869263,42.7351799,45.13161087,37.79125595
2025年01月01日05时30分00秒,102.9343109,44.90272522,54.77225876,44.16342545,50.30212784,43.31883621,50.50354767,42.35751724,49.7276268,42.58411407,45.61455536,37.6722374
2025年01月01日06时00分00秒,102.0256348,44.4930191,53.79491806,44.07873535,49.77569199,43.2799263,51.53582001,42.1904335,50.77134323,42.54062653,44.71732712,37.53948212
2025年01月01日06时30分00秒,103.0510406,44.43122101,53.70107651,43.84298325,49.58342743,42.99382019,51.73723984,42.2270546,51.03913879,42.7603569,44.49073029,37.28541946
2025年01月01日07时00分00秒,100.9727631,44.307621,52.74891281,43.51567841,49.70702744,42.67567062,51.60677338,42.73975754,50.69123459,43.00984192,45.17738724,36.93980408
2025年01月01日07时30分00秒,102.4513626,44.57083893,53.01213074,43.17006302,50.05950928,42.6596489,51.78072739,42.97779846,51.34584427,43.1929512,46.34469986,37.07484436
2025年01月01日08时00分00秒,102.3414993,44.54337311,52.72373581,42.95491028,50.24948502,42.88624573,51.70519638,42.96177673,51.38246918,43.29365921,46.97871399,37.76379013
2025年01月01日08时30分00秒,101.5312424,44.51132965,52.37812042,42.75806808,50.32501602,43.01670837,51.58388519,42.92515564,51.13069534,43.38521576,47.12062073,38.08651733
2025年01月01日09时00分00秒,101.9798584,44.45182037,52.69169235,42.62302399,50.31814957,43.03730774,51.41909027,42.90684509,51.35042191,43.40123749,46.60334015,38.33371353
2025年01月01日09时30分00秒,102.2156067,44.44495392,53.13801956,42.6482048,50.2105751,43.0579071,51.39162445,42.82902145,51.04142761,43.3783493,46.24399185,38.33371353
2025年01月01日10时00分00秒,101.3412704,44.3923111,53.05561829,42.76722336,50.10299683,43.02815247,51.24055862,42.80384445,51.12382507,43.39437103,45.72213364,37.81643295
2025年01月01日10时30分00秒,101.485466,44.46326447,53.20210648,42.93888855,49.98397827,43.02128601,51.19707108,42.77866745,51.08491516,43.35774612,45.6305809,37.58068085
2025年01月01日11时00分00秒,102.059967,44.44953156,53.44472504,43.08308411,50.10299683,43.03730774,51.21080399,42.72373581,51.17189407,43.39208221,45.5321579,37.48226166
2025年01月01日11时30分00秒,98.76402283,44.40375519,53.02357483,43.27077103,49.75738144,43.11741638,50.8171196,42.74662399,50.59738922,43.35545731,45.12016296,37.46395111
2025年01月01日12时00分00秒,101.4168015,44.54337311,53.35316849,43.23186111,50.0617981,42.93888855,51.10551453,42.70542526,51.01167297,43.27763748,45.22087479,37.3403511
2025年01月01日12时30分00秒,102.0874329,44.43122101,53.59578705,43.2295723,50.07781982,42.95033264,51.14671707,42.59326935,51.05516052,43.27534866,45.35591507,37.20759964
2025年01月01日13时00分00秒,101.3389816,44.5548172,53.56603241,43.38521576,50.050354,43.02128601,51.12153625,42.69169235,51.01625061,43.36003494,45.34218216,37.31746292
2025年01月01日13时30分00秒,103.1265717,44.67383957,53.95513916,43.46990204,50.36163712,43.10368347,51.40306854,42.74433517,51.38246918,43.4401474,45.73586655,37.37010574
2025年01月01日14时00分00秒,102.6893997,44.80430222,53.85442734,43.65758896,50.39368439,43.31883621,51.384758,42.87709045,51.23826981,43.49965668,46.52552032,37.56465912
2025年01月01日14时30分00秒,103.0876617,45.00572205,54.1451149,43.80865097,50.59281158,43.41268158,51.52666473,42.99839783,51.38246918,43.65301132,47.02677917,38.04074097
2025年01月01日15时00分00秒,101.460289,45.18425369,53.87044907,43.94369507,50.47150421,43.53398895,51.35042191,43.07392883,51.14900589,43.70565414,47.43877411,38.37033463
2025年01月01日15时30分00秒,101.2657394,45.21629715,53.89562988,43.9848938,50.4325943,43.55001068,51.361866,43.08079529,51.10551453,43.75600815,47.71343613,38.59464264
2025年01月01日16时00分00秒,101.2748947,45.25520706,53.97116089,44.0352478,50.44632721,43.55458832,51.36873245,43.12428284,51.29320145,43.74685287,47.85534286,38.78004074
2025年01月01日16时30分00秒,101.5815964,45.2231636,54.26184464,44.04211426,50.56534576,43.52483368,51.62966537,43.08995056,51.23369217,43.76745224,46.0151062,38.88075256
2025年01月01日17时00分00秒,102.7580719,45.25520706,54.50675201,44.09475708,50.78507614,43.55916595,51.81277084,43.12886429,51.28862381,43.49736786,46.07003784,38.57404327
2025年01月01日17时30分00秒,102.5268936,45.18425369,54.39002228,44.17715836,50.77820969,43.6507225,51.78530502,43.23872757,51.44197845,43.59349823,45.74502182,38.07507324
2025年01月01日18时00分00秒,103.0029755,45.07209778,54.51361847,44.13367081,50.91096497,43.62325287,51.86083603,43.26390457,51.30235672,43.60494232,45.50926971,37.72716904
2025年01月01日18时30分00秒,102.8976898,45.24834061,54.22980118,44.08789063,50.7553215,43.6255455,51.70061874,43.26390457,51.21995926,43.57289886,46.25772476,37.60814667
2025年01月01日19时00分00秒,103.6118088,45.14992142,54.33508682,43.99176025,50.70725632,43.54772186,51.71892929,43.21583939,51.30693436,43.56145477,46.54383087,37.89883423
2025年01月01日19时30分00秒,102.2865677,45.13161087,53.94140625,43.96887207,50.56076813,43.5522995,51.54039764,43.17235184,50.98649597,43.31425858,47.17326736,38.22842789
2025年01月01日20时00分00秒,104.0741577,45.10643005,54.25268936,43.91622925,50.73243332,43.51338959,51.72350693,43.14030838,51.13527298,43.40810394,47.40673065,38.47562408
2025年01月01日20时30分00秒,102.1217651,45.09269714,53.94140625,43.92538452,50.55161285,43.57976532,51.34584427,43.15861893,50.99565125,43.34630203,47.12520218,38.66788864
2025年01月01日21时00分00秒,102.7260208,45.13618851,54.05126953,43.87731934,50.62485504,43.56832123,51.57015228,43.14717484,51.08720398,43.31654739,47.64934921,38.71595383
2025年01月01日21时30分00秒,101.5632858,45.09040833,53.84069443,43.87044907,50.46463776,43.54314423,51.35957718,43.12657547,50.81483078,43.25932693,47.42046356,38.80750656
2025年01月01日22时00分00秒,101.8356628,44.99198914,53.86129379,43.79720688,50.42572784,43.49507904,51.37789154,43.07392883,50.86289597,43.22728348,47.104599,38.7754631
2025年01月01日22时30分00秒,103.1082611,45.10185242,54.05126953,43.77889633,50.65003586,43.49965668,51.55184174,43.06019592,50.94758606,43.1929512,47.79125595,38.77088547
2025年01月01日23时00分00秒,102.3323441,45.03089905,53.90478516,43.81551743,50.50812531,43.57061005,51.45113373,43.11512756,50.8903656,43.20439529,47.26939774,38.85786057
2025年01月01日23时30分00秒,101.8905945,45.16594315,53.76058578,43.81093979,50.61341095,43.60494232,51.46257782,43.14030838,50.75074387,43.20210648,47.74319077,38.87617493
